Item_Type,Item_Weight,Item_MRP,Item_Outlet_Sales,Timestamp,Item_Identifier,Item_Fat_Content,Item_Visibility,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,MRP_Range,Price_Range
Baking Goods,,113.1544,3355.632,,FDN12,LF,0.08071118,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Household,5.82,171.379,2037.348,,NCJ30,Low Fat,0.080968973,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Fruits and Vegetables,16.25,126.2046,1867.569,,FDB09,Low Fat,0.057485328,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Snack Foods,13.35,180.266,898.83,,FDA09,Regular,0.149669322,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Baking Goods,,172.3422,7759.899,,FDL24,Regular,0.024776026,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Meat,5.15,125.6388,2848.2924,,FDP03,Regular,0.061165512,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,,94.5462,2868.9322,,FDR58,Low Fat,0.041718456,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Breakfast,7.865,166.0526,3617.9572,,FDO13,Low Fat,0.06100886,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Soft Drinks,9.895,239.4564,5243.8408,,DRD49,Low Fat,0.167799329,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very High,Very High
Household,17.35,176.0712,2109.2544,,NCF42,Low Fat,0.167351411,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Hard Drinks,8.365,36.1506,721.0614,,DRK35,Low Fat,0.071832909,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Snack Foods,6.675,92.1462,1203.1006,,FDR58,Low Fat,0.041886576,OUT013,1987.0,High,Tier 3,Supermarket Type1,Low,Low
Meat,,83.1276,1868.2348,,FDQ15,Regular,0.150341867,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Others,17.35,80.5618,322.2472,,NCP50,Low Fat,0.020542737,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Snack Foods,16.75,186.4556,3942.8676,,FDV45,Low Fat,0.045047439,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Hard Drinks,18.85,129.6336,3195.84,,DRP35,Low Fat,0.091008572,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Breads,6.575,143.5444,3338.3212,,FDN23,Regular,0.07549348,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Fruits and Vegetables,12.65,238.9538,4086.0146,,FDS44,Regular,0.156286566,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Household,15.2,110.9912,1856.2504,,NCI54,Low Fat,0.033735909,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Frozen Foods,,79.3276,1380.8692,,FDH40,Regular,0.078547351,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Snack Foods,7.07,113.3834,1267.0174,,FDF46,Low Fat,0.093653464,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Snack Foods,13.65,184.4924,5182.5872,,FDA21,Low Fat,0.036107198,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Frozen Foods,,145.2418,147.1418,,FDI41,Regular,0.109003832,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Starchy Foods,7.06,58.8904,58.5904,,FDE35,Regular,0.073480266,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Soft Drinks,11.8,186.3924,5367.6796,,DRJ24,Low Fat,0.113234914,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Health and Hygiene,,41.548,1358.232,,NCK17,Low Fat,0.037711338,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Dairy,9.3,250.2092,5976.2208,,FDA15,Low Fat,0.016054884,OUT045,2002.0,,Tier 2,Supermarket Type1,Very High,Very High
Baking Goods,,117.6124,2251.7356,,FDD36,Low Fat,0.021170542,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Soft Drinks,,181.1634,181.7634,,DRD60,Low Fat,0.065188619,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Snack Foods,13.6,195.4136,5443.5808,,FDA46,Low Fat,0.117537563,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Household,19.5,57.2614,1547.3192,,NCO54,Low Fat,0.01430324,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Baking Goods,19.35,47.1034,145.8102,,FDL48,Regular,0.137697119,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Others,,112.0202,5063.409,,NCM19,Low Fat,0.047008497,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Fruits and Vegetables,13.1,178.9318,3067.3406,,FDS31,reg,0.0,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Baking Goods,16.7,97.6384,2857.6136,,FDV12,Regular,0.060863167,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Fruits and Vegetables,5.785,87.1856,1406.1696,,FDQ31,Regular,0.0,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Meat,,89.4172,178.4344,,FDK55,Low Fat,0.045105407,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Dairy,6.13,59.3536,1470.0864,,DRG15,Low Fat,0.076855207,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Health and Hygiene,9.8,116.2492,2896.23,,NCR17,Low Fat,0.024482644,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Canned,,154.6314,6515.5188,,FDV01,Regular,0.0,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Snack Foods,7.42,248.4092,996.0368,,FDT21,Low Fat,0.020474913,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Snack Foods,16.7,57.4562,948.0992,,FDT10,Regular,0.062044506,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,,85.6198,87.2198,,FDL56,Low Fat,0.220225608,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Canned,9.0,80.1644,1178.466,,FDS49,Low Fat,0.079794329,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,,188.4214,565.2642,,FDT32,Regular,0.114916546,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Household,6.36,164.5526,2137.8838,,NCX42,Low Fat,0.00597362,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Dairy,17.7,184.1292,547.2876,,FDX26,LF,0.146973462,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Canned,16.5,208.5638,2691.8294,,FDN02,Low Fat,0.07376631,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Frozen Foods,,108.6912,3057.3536,,FDJ40,Regular,0.049349121,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Canned,,146.0418,588.5672,,FDU13,low fat,0.328390948,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Dairy,11.85,96.4726,978.726,,DRE27,Low Fat,0.13267058,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Meat,10.195,197.511,2356.932,,FDS27,Regular,0.012455787,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very High,Very High
Fruits and Vegetables,,162.1552,3086.6488,,FDU44,Regular,0.058142797,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Hard Drinks,,153.2998,461.3994,,DRM59,Low Fat,0.006289291,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Fruits and Vegetables,13.65,150.505,2696.49,,FDT08,Low Fat,0.04929502,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Medium,Medium
Snack Foods,20.35,117.9466,1649.8524,,FDL46,low fat,0.054362695,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Household,20.2,62.051,126.502,,NCV30,Low Fat,0.110356797,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Meat,13.85,119.6124,2014.7108,,FDP51,Regular,0.085274988,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Dairy,8.05,112.2518,1707.777,,FDA51,Regular,0.164542555,OUT013,1987.0,High,Tier 3,Supermarket Type1,Low,Low
Snack Foods,7.365,94.712,932.12,,FDM46,Low Fat,0.160292264,OUT045,2002.0,,Tier 2,Supermarket Type1,Low,Low
Canned,12.5,118.344,2157.192,,FDK02,Low Fat,0.112859454,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Seafood,7.42,184.8582,4643.955,,FDJ57,Regular,0.021569566,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Seafood,,33.7216,1280.9992,,FDJ45,Low Fat,0.073055148,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Household,6.235,261.991,2366.919,,NCB31,Low Fat,0.119345629,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Dairy,12.35,49.1692,886.8456,,FDJ03,Regular,0.072334667,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Dairy,6.75,95.6752,958.752,,FDT50,Regular,0.108148913,OUT013,1987.0,High,Tier 3,Supermarket Type1,Low,Low
Health and Hygiene,16.75,36.8532,1150.5024,,NCY41,Low Fat,0.07585337,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Baking Goods,19.35,163.3184,2641.8944,,FDJ60,Regular,0.062655235,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Breads,9.6,102.499,1547.985,,FDZ35,Regular,0.022278477,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Snack Foods,19.85,62.0194,619.194,,FDS21,Regular,0.020961192,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Frozen Foods,15.1,147.4076,2808.3444,,FDM52,Low Fat,0.025993423,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Fruits and Vegetables,,62.9536,2266.3832,,FDQ08,Regular,0.018838681,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Fruits and Vegetables,6.59,85.6908,1929.4884,,FDQ56,Low Fat,0.105577348,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Breads,16.75,89.4856,1054.6272,,FDS47,Low Fat,0.129086113,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Low,Low
Soft Drinks,15.2,38.6848,1155.8288,,DRM48,Low Fat,0.113125627,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Snack Foods,13.0,65.7484,1174.4712,,FDW46,Regular,0.070699313,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Meat,5.86,154.1314,3412.8908,,FDW27,Regular,0.151467821,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Medium,Medium
Health and Hygiene,11.395,150.1708,300.9416,,NCQ05,Low Fat,0.03616416,OUT010,1998.0,,Tier 3,Grocery Store,Medium,Medium
Frozen Foods,20.85,192.2478,387.4956,,FDU40,Low Fat,0.062606583,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Soft Drinks,,112.886,2942.836,,DRE12,Low Fat,0.0704378,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Breads,5.035,226.3036,4098.6648,,FDX35,Regular,0.079844043,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Dairy,11.15,45.0744,452.744,,FDD51,Low Fat,0.120139206,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Dairy,6.38,178.3344,3211.8192,,FDY27,Low Fat,0.032028115,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Household,8.39,162.2868,2620.5888,,NCN06,Low Fat,0.120497266,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Snack Foods,5.675,155.5288,1414.1592,,FDR57,Regular,0.023492524,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Fruits and Vegetables,15.7,110.1544,1565.9616,,FDL32,Regular,0.122657336,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Low,Low
Snack Foods,13.0,65.9484,1043.9744,,FDW46,reg,0.070588037,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Health and Hygiene,,121.844,3115.944,,NCO17,Low Fat,0.073024401,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Fruits and Vegetables,13.5,145.3102,729.051,,FDR19,Regular,0.159587755,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Snack Foods,8.895,125.173,2956.152,,FDJ33,Regular,0.088821765,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Dairy,10.895,263.0568,527.3136,,FDB15,Low Fat,0.136810742,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Frozen Foods,16.2,178.437,1058.622,,FDA52,Regular,0.128682722,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Fruits and Vegetables,,84.1592,1320.9472,,FDZ08,Regular,0.109459733,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Meat,15.1,131.9942,3047.3666,,FDR27,Regular,0.096644015,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Household,7.475,217.6192,1725.7536,,NCK42,Low Fat,0.013120028,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Baking Goods,,144.847,143.147,,FDZ12,Low Fat,0.0,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Baking Goods,10.8,41.5138,446.7518,,FDM60,Regular,0.048339408,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Others,20.0,35.019,585.904,,NCI31,Low Fat,0.08165845,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Meat,14.3,210.3586,6331.758,,FDX39,Regular,0.04975339,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Health and Hygiene,10.1,153.4656,1853.5872,,NCV05,Low Fat,0.030379382,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Frozen Foods,17.85,149.105,2247.075,,FDX16,LF,0.065810045,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Soft Drinks,9.5,32.89,33.29,,DRK12,Low Fat,0.0,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Health and Hygiene,20.75,146.6734,445.4202,,NCA05,Low Fat,0.025272781,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Dairy,12.1,164.6526,657.8104,,DRG51,Low Fat,0.019314961,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Household,20.6,74.4696,223.7088,,NCR30,Low Fat,0.071282168,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very Low,Very Low
Household,7.67,33.1216,727.0536,,NCE31,Low Fat,0.184843579,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,,111.1912,218.3824,,FDM56,Low Fat,0.122896411,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Baking Goods,20.6,119.5756,2665.8632,,FDP24,Low Fat,0.082935004,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Soft Drinks,15.35,196.6768,591.2304,,DRM37,Low Fat,0.161350176,OUT010,1998.0,,Tier 3,Grocery Store,Very High,Very High
Fruits and Vegetables,5.46,142.6786,2311.6576,,FDN56,Regular,0.106968096,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Soft Drinks,9.395,224.772,7017.532,,DRE60,Low Fat,0.159582185,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very High,Very High
Canned,,180.6002,895.501,,FDW49,Low Fat,0.14453827,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Fruits and Vegetables,10.0,243.8144,4655.2736,,FDM20,Low Fat,0.038685802,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very High,Very High
Meat,,98.2042,198.4084,,FDK15,Low Fat,0.172309903,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Baking Goods,7.445,73.3354,451.4124,,FDK48,Low Fat,0.037690731,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Breakfast,,49.7008,50.6008,,FDO49,Regular,0.05787008,OUT019,1985.0,Small,Tier 1,Grocery Store,Very Low,Very Low
Fruits and Vegetables,15.5,102.1332,615.1992,,FDC09,Regular,0.026409147,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Health and Hygiene,19.85,126.1704,876.1928,,NCZ41,Low Fat,0.064367627,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Fruits and Vegetables,11.5,128.1652,2454.1388,,FDP19,Low Fat,0.173516063,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Medium,Medium
Baking Goods,,250.4724,251.6724,,FDQ24,Low Fat,0.12898088,OUT019,1985.0,Small,Tier 1,Grocery Store,Very High,Very High
Hard Drinks,10.5,159.0946,4102.6596,,DRL11,Low Fat,0.048115543,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Baking Goods,19.7,177.766,2696.49,,FDO36,Low Fat,0.077899109,OUT035,2004.0,Small,Tier 2,Supermarket Type1,High,High
Frozen Foods,,86.9198,1569.9564,,FDN52,Regular,0.13093275,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Fruits and Vegetables,10.3,188.653,189.753,,FDF21,Regular,0.098464979,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Frozen Foods,20.85,192.7478,3099.9648,,FDU40,Low Fat,0.037372847,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Meat,13.35,61.4194,743.0328,,FDS51,Low Fat,0.032230526,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,12.1,177.8002,1611.9018,,FDE45,Low Fat,0.040357315,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Dairy,20.1,108.7228,1215.7508,,FDX50,Low Fat,0.07461309,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Others,,184.2608,367.5216,,NCN14,Low Fat,0.160936178,OUT019,1985.0,Small,Tier 1,Grocery Store,High,High
Snack Foods,21.25,120.8756,3150.5656,,FDQ21,Low Fat,0.019502354,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Medium,Medium
Snack Foods,,181.766,7370.406,,FDV57,Regular,0.065577449,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Fruits and Vegetables,6.655,209.2586,2954.8204,,FDB44,Low Fat,0.016944719,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Frozen Foods,13.65,47.7402,643.1628,,FDG52,Low Fat,0.065576228,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very Low,Very Low
Canned,,88.4172,89.2172,,FDL38,Regular,0.02579577,OUT019,1985.0,Small,Tier 1,Grocery Store,Low,Low
Household,13.6,176.737,4940.236,,NCS54,Low Fat,0.010008699,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,High,High
Soft Drinks,15.5,41.577,735.709,,DRL37,Low Fat,0.053362086,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,10.895,196.6794,1170.4764,,FDA43,Low Fat,0.064621927,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Meat,19.7,101.799,1135.189,,FDZ39,Regular,0.018126724,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Fruits and Vegetables,8.1,211.8902,3823.0236,,FDG45,Low Fat,0.0,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Snack Foods,21.0,195.0478,1549.9824,,FDH10,Low Fat,0.049263979,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,High
Snack Foods,13.65,58.3588,114.5176,,FDO10,Regular,0.021343732,OUT010,1998.0,,Tier 3,Grocery Store,Very Low,Very Low
Breads,,63.2826,1033.3216,,FDS35,LF,0.110681931,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Frozen Foods,,145.1418,4561.3958,,FDI41,Regular,0.061955439,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Medium,Medium
Snack Foods,,163.1236,2416.854,,FDN21,LF,0.076483451,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Household,13.15,176.8686,2133.2232,,NCO18,Low Fat,0.024701262,OUT045,2002.0,,Tier 2,Supermarket Type1,High,High
Snack Foods,15.25,85.2198,1482.7366,,FDB34,Low Fat,0.02671821,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Frozen Foods,19.35,121.5098,2892.2352,,FDD05,Low Fat,0.016597651,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Breads,,33.0558,984.7182,,FDX59,Low Fat,0.0514111,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very Low,Very Low
Baking Goods,17.75,185.424,745.696,,FDZ23,Regular,0.112985849,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Dairy,20.7,92.7436,1323.6104,,FDX27,Regular,0.11411709,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Low,Low
Fruits and Vegetables,9.5,110.4228,1547.3192,,FDV07,Low Fat,0.0,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Dairy,11.65,55.5298,647.1576,,FDR14,Low Fat,0.175033524,OUT017,2007.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Breakfast,21.1,128.7994,1798.9916,,FDO01,Regular,0.020760673,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Breakfast,7.865,166.3526,1973.4312,,FDO13,Low Fat,0.061405051,OUT017,2007.0,,Tier 2,Supermarket Type1,High,High
Canned,12.35,57.0246,1737.738,,FDU25,Low Fat,0.026676216,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Household,,114.715,1864.24,,NCK54,Low Fat,0.029380407,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Low,Low
Fruits and Vegetables,16.25,168.1474,1516.0266,,FDZ56,Low Fat,0.025715562,OUT013,1987.0,High,Tier 3,Supermarket Type1,High,High
Others,12.15,253.704,5060.08,,NCL55,Low Fat,0.065026434,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Starchy Foods,10.5,78.296,2157.192,,FDD59,Regular,0.066315023,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Meat,12.8,226.0404,5400.9696,,FDJ55,Regular,0.023664054,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Snack Foods,,177.637,5469.547,,FDA45,Low Fat,0.154627247,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Hard Drinks,4.61,172.8396,174.4396,,DRF23,Low Fat,0.205294827,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Canned,7.0,105.728,1278.336,,FDT49,Low Fat,0.152261999,OUT017,2007.0,,Tier 2,Supermarket Type1,Low,Low
Health and Hygiene,10.0,120.644,1917.504,,NCO17,Low Fat,0.0,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,6.405,128.1678,1017.3424,,FDH22,Low Fat,0.136275173,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Snack Foods,9.3,104.2964,1998.7316,,FDT34,Low Fat,0.174621343,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Low,Low
Dairy,11.6,57.9272,615.1992,,FDB39,Low Fat,0.038597077,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Snack Foods,16.75,39.1822,314.2576,,FDQ22,Low Fat,0.029799965,OUT045,2002.0,,Tier 2,Supermarket Type1,Very Low,Very Low
Others,12.15,122.973,123.173,,NCN43,Low Fat,0.011314423,OUT010,1998.0,,Tier 3,Grocery Store,Medium,Medium
Fruits and Vegetables,14.7,48.2034,1020.6714,,FDG57,Low Fat,0.072410764,OUT049,1999.0,Medium,Tier 1,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,20.0,46.7744,1222.4088,,FDR20,Regular,0.028118435,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Very Low,Very Low
Snack Foods,,120.2124,474.0496,,FDU22,Low Fat,0.163350221,OUT019,1985.0,Small,Tier 1,Grocery Store,Medium,Medium
Household,7.39,250.9066,1506.0396,,NCC43,Low Fat,0.093307713,OUT017,2007.0,,Tier 2,Supermarket Type1,Very High,Very High
Breakfast,20.75,150.5682,762.341,,FDP01,Regular,0.105994654,OUT010,1998.0,,Tier 3,Grocery Store,Medium,Medium
Frozen Foods,9.3,184.2292,1277.0044,,FDF52,Low Fat,0.067055339,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,High,High
Snack Foods,10.195,147.6076,3547.3824,,FDZ33,Low Fat,0.107376743,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Baking Goods,,181.395,6042.135,,FDP48,Regular,0.043810028,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Fruits and Vegetables,7.68,192.2162,384.8324,,FDW56,Low Fat,0.118672537,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Canned,10.195,110.6886,1223.0746,,FDC26,Low Fat,0.126897925,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Low,Low
Snack Foods,9.3,200.0084,2182.4924,,FDF34,Regular,0.014076503,OUT018,2009.0,Medium,Tier 3,Supermarket Type2,Very High,Very High
Snack Foods,8.895,123.473,1478.076,,FDJ33,Regular,0.088305478,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
Dairy,16.0,143.2154,1418.154,,FDD04,Low Fat,0.090153756,OUT045,2002.0,,Tier 2,Supermarket Type1,Medium,Medium
Others,19.2,239.2196,5061.4116,,NCJ31,Low Fat,0.182501773,OUT013,1987.0,High,Tier 3,Supermarket Type1,Very High,Very High
Snack Foods,20.75,161.7578,2888.2404,,FDO57,Low Fat,0.108710162,OUT046,1997.0,Small,Tier 1,Supermarket Type1,High,High
Baking Goods,,172.1422,5518.1504,,FDM36,Regular,0.058446424,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,High,High
Health and Hygiene,13.5,35.2874,741.0354,,NCY05,Low Fat,0.054990009,OUT046,1997.0,Small,Tier 1,Supermarket Type1,Very Low,Very Low
Fruits and Vegetables,,241.7538,9133.4444,,FDS44,Regular,0.15528831,OUT027,1985.0,Medium,Tier 3,Supermarket Type3,Very High,Very High
Meat,19.7,101.199,1857.582,,FDZ39,Regular,0.018021361,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Low,Low
Others,6.095,143.3154,2836.308,,NCM31,Low Fat,0.0816559,OUT017,2007.0,,Tier 2,Supermarket Type1,Medium,Medium
Hard Drinks,8.21,150.8392,2982.784,,DRK11,Low Fat,0.010755465,OUT013,1987.0,High,Tier 3,Supermarket Type1,Medium,Medium
Snack Foods,17.7,165.9816,167.7816,,FDO34,Low Fat,0.050111641,OUT010,1998.0,,Tier 3,Grocery Store,High,High
Household,18.1,127.3336,1150.5024,,NCL30,Low Fat,0.048931174,OUT035,2004.0,Small,Tier 2,Supermarket Type1,Medium,Medium
